PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40084380,Comparative study between single modality radiotherapy and concurrent chemoradiation for selected patients with early-stage laryngeal cancer.,2025,Gharib F; Ammar M; Elhamshary AS; Sheta M; Mansour W; Elkady AM,,
40084370,Risk factors for immunoresistance in advanced non-small cell lung cancer and the advantages of targeted therapy in improving prognosis.,2025,Yang P; He S; Fan L; Ye L; Weng H,,
40084358,Early-phase clinical trials in the pandemic era: a four-year experience from an academic cancer center.,2025,Moreland K; Fuhrman B; Webb K; Margraf M; Wernke J; Vollmer C; Kastl A; Marcum M; Leddon J; Jackson A; Curran E; Rai S; Wise-Draper T; Sohal D,,
40084350,Predictive value of CT radiomics and inflammatory markers for pulmonary adenocarcinoma spread through air spaces.,2025,Lv C; Zhang G; Xu B; Huang M; Zhang Y; Kou M,,
40084157,"A population-representative serosurvey estimating vaccine-induced immunity against measles, rubella, hepatitis B and severe acute respiratory syndrome coronavirus 2 in Timor-Leste.",2025 Mar,Arkell P; Tanesi MY; Martins N; Gomes N; Oakley T; Solano V; David M; Amaral S; Sheridan SL; Yip TW; Draper ADK; Sarmento N; Soares da Silva E; Alves L; Nicholson S; Stambos V; Pedrina K; Freitas C; de Neri Machado F; Gusmão CA; da Costa Barreto I; Fancourt NSS; Macartney K; Yan J; Francis JR,,
40084117,[(18)F]PSMA-1007 PET/MR as a Precision Biomarker for Early Detection of Biochemical Recurrence in Prostate Cancer at Very Low PSA Levels.,2025,Lin KH; Wei TC; Shen SH; Huang WJ; Chuang MH; Peng NJ; Huang WT; Wang YF,,
40083886,"Deciphering agronomic traits, biochemical components, and color in unique green-seeded fenugreek (Trigonella foenum-graecum L.) genotypes.",2025,Singh R; Meena RS; Choudhary S; Meena NK; Meena RD; Verma AK; Mahatma MK; Yathendranaik R; Lal S; Shekhawat PK; Bhardwaj V,,
40083874,Hypofractionated stereotactic radiotherapy using coplanar VMAT for single small brain metastasis: dosimetric analysis and clinical outcomes.,2025,Lai J; Li A; Zeng X; Liu J; Zhou L,,
40083842,"Comment on Reese et al. 2023 ""Vegan Diets from an Allergy Point of View - Position Paper of the DGAKI Working Group on Food Allergy"". Allergologie Select. 2023; 7: 57-83.",2025,Koeder C,,
40083552,Disitamab vedotin vs. gemcitabine-cisplatin regimen with immunotherapy: a comparative analysis of efficacy and safety in muscle-invasive bladder cancer.,2025,Zhang C; Yu Y; Zhou Q; Ouyang J; Zhang Z,,
40083528,"Comparison of camrelizumab, pembrolizumab, tislelizumab, and sintilimab as first-line treatment in patients with non-small cell lung cancer: a retrospective study.",2025 Feb 28,Yan X; Wang Y; Wu F; Zhou G; Shen J; Yu S,,
40083510,Diagnostic utility of endobronchial ultrasound elastography for detecting benign and malignant lymph nodes: a retrospective study.,2025 Feb 28,Zhou X; Li Y,,
40083507,Development a predictive nomogram for spontaneous pleurodesis in patients with non-small cell lung cancer and malignant pleural effusion.,2025 Feb 28,Tan S; Zeng H; Huang Q; Pu X; Li W; Ali JM; Nayak R; Bhagat M; Li Y; Tian P,,
40083505,Comparison of the diagnostic accuracy between (18)F-FAPI-04 PET/CT and (18)F-FDG PET/CT in the clinical stage IA of lung adenocarcinoma.,2025 Feb 28,Liang HX; Huang QW; He YM; Mai YQ; Chen ZL; Wang BP; Fang N; Hu JF; Li X; Zhang N; Liu ET; Li XC,,
40083500,Identifying lung cancer in Emergency Department patients outside national lung cancer screening guidelines.,2025 Feb 28,Wang H; Cheeti R; Murray M; Muirheid TA; McDowell J; Sambamoorthi U,,
40083492,Efficacy and safety of integrating consolidative thoracic radiotherapy with immunochemotherapy in extensive-stage small cell lung cancer: a real-world retrospective analysis.,2025 Feb 28,Zhang Q; Wang Q; Wang M; Liu X; Han D; Sun H; Zhao C; Liu C,,
40083488,"Impact of chest tube type on pain, drainage efficacy, and short-term treatment outcome following video-assisted thoracoscopic surgery lobectomy: a randomized controlled trial comparing coaxial silicone drains and standard polyvinyl chloride drains.",2025 Feb 28,Greif B; Žgajnar J; Štupnik T,,
40083486,Perioperative safety of simultaneous pulmonary resection and off-pump coronary artery bypass grafting: a retrospective analysis from a single institution.,2025 Feb 28,Chen F; Gao S; Xia W; Wang M; Zhang W; Xu Y,,
40083232,Utility of the NLR and the ratio of NLR after and before adverse events for differential diagnosis of irAEs and bacterial infections in cancer patients treated with PD-(L)1 inhibitors.,2025 Mar 14,Han L; Huang B; Li L; Xu B; Yang Y; Zhao L; Wang Z; Zhang C; Gao Q,,
40083085,"Cancer Statistics in Korea: Incidence, Mortality, Survival, and Prevalence in 2022.",2025 Mar 11,Park EH; Jung KW; Park NJ; Kang MJ; Yun EH; Kim HJ; Kim JE; Kong HJ; Choi KS; Yang HK; Community of Population-Based Regional Cancer Registries,,
40083084,"Prediction of Cancer Incidence and Mortality in Korea, 2025.",2025 Mar 11,Jung KW; Kang MJ; Park EH; Yun EH; Kim HJ; Kim JE; Kong HJ; Choi KS; Yang HK,,
40083039,"Antisecretory factor as add-on treatment for newly diagnosed glioblastoma, IDH wildtype: study protocol for a randomized double-blind placebo-controlled trial.",2025 Mar 13,Ehinger E; Darabi A; Visse E; Edvardsson C; Tomasevic G; Cederberg D; Kinhult S; Rydelius A; Nilsson C; Belting M; Bengzon J; Siesjö P,,
40083037,Associations between kidney function with all-cause and cause-specific mortality in type 2 diabetes mellitus patients: a prospective cohort study in China.,2025 Mar 13,He J; Wan Y; Fan X; Yu H; Qin Y; Su J; Lu Y; Pan E; Hang D; Shen C; Zhou J; Wu M,,
40083036,"Standard versus Pre-emptive Antibiotic Treatment to Reduce the Rate of Infectious Outcomes after Whipple resection (SPARROW): a study protocol for a multicentre, open-label, randomised controlled trial.",2025 Mar 13,Droogh DHM; de Boer MGJ; van Prehn J; Putter H; Bonsing BA; Bosscha K; Bouwense SAW; Braak JPBM; Hoogwater FJH; Lips DJ; Luyer MDP; Stommel MWJ; Wijsman JH; Besselink MG; van Santvoort HC; Koerkamp BG; Vahrmeijer AL; Mieog JSD; Dutch Pancreatic Cancer Group,,
40083024,Intratumoral and peritumoral CT radiomics in predicting anaplastic lymphoma kinase mutations and survival in patients with lung adenocarcinoma: a multicenter study.,2025 Mar 13,Chen W; Lin G; Feng Y; Chen Y; Li Y; Li J; Mao W; Jing Y; Kong C; Hu Y; Chen M; Xia S; Lu C; Tu J; Ji J,,
40082986,N6-methyladenosine RNA modified BAIAP2L2 facilitates extracellular vesicles-mediated chemoresistance transmission in gastric cancer.,2025 Mar 13,Liao Y; Chen X; Xu H; Zhi Y; Zhuo X; Yu J; Zhao L,,
40082982,A real-world study of the efficacy of second-line treatment of unresectable hepatocellular carcinoma with esophagogastric varices after progression on first-line lenvatinib combined with PD-1 inhibitor.,2025 Mar 13,Li S; Wen Q; Huang W; Qiu Z; Feng L; Yi F,,
40082980,Using a social marketing approach to increase the pap-smear test uptake: randomized controlled trial among women residing in urban region.,2025 Mar 13,Maleki A; Ahadinezhad B; Alizadeh A; Khosravizadeh O,,
40082963,Anticancer efficacy of Spiruchostatin A: current insights into histone deacetylase inhibition and oncologic applications.,2025 Mar 14,Ibrahim S; Khan MU; Khurram I; Ghani MU; Sharifi-Rad J; Calina D,,
40082961,"Characterization of human papillomavirus genotypes infections in patients with cervical lesions and cervical cancer in Urumqi, Xinjiang from 2016 to 2023.",2025 Mar 13,Wang Y; Maisaidi R; Zhang S; Reheman Y; Han L,,
40082952,"Prevalence, trends, and geographic distribution of human papillomavirus infection in Chinese women: a summative analysis of 2,728,321 cases.",2025 Mar 13,Han S; Lin M; Liu M; Wu S; Guo P; Guo J; Xie L; Qiu S; Xu A; Cai Y; Chen Y,,
40082897,Efficacy and safety of induction immunochemotherapy followed by radiotherapy for patients with unresectable locally advanced non-small cell lung cancer: A retrospective study.,2025 Mar 13,Liu L; Gao C; Yang Y; Tang M; Zhao T; Chen D; Jin J; Xu Y; Li G; Zhong Q,,
40082871,Risk factors of immune-related endocrine toxicities in non-small cell lung cancer patients treated with pembrolizumab and its impact on patient outcomes: a multicenter retrospective study.,2025 Mar 13,Zhang H; Zheng J; Ren C; Ye C; Wu X; Lv X; Li Y; Zhou J; Zhou J,,
40082870,The role of low-dose glucocorticoids in preventing bronchopleural fistula after bronchoplasty: a retrospective study.,2025 Mar 13,He R; Zeng T; Ma Y; Ming C; Zhao GQ; Peng YZ; Jiang BY; Zhou XL; Li GJ,,
40082852,"""I just wish vaping wasn't a thing"": an Australian qualitative study of parental concerns and perceptions towards adolescent vaping.",2025 Mar 13,Rose S; McGill B; Watts C; Brooks A; Dessaix A; Freeman B,,
40082847,"Implementation and evaluation of a multi-professional care pathway and network for the promotion of needs-oriented, resident-oriented exercise therapy for oncological patients (MOVE-ONKO): protocol of a mixed-methods cohort study.",2025 Mar 13,Blütgen S; Krug K; Graf K; Betz U; Böhm J; Jäger E; Krell V; Müller J; Pahl A; Voland A; Weigmann-Faßbender S; Zinkevich A; Wensing M; Ansmann L; Wiskemann J,,
40082834,A mixed-methods preliminary evaluation of an innovative treatment for cervical precancer in El Salvador's screen-and-treat program.,2025 Mar 13,Soler M; López L; Rodriguez GC; Pérez JR; Polio K; Velis JM; Mumenthaler E; Masch R; Cremer M; Alfaro K,,
40082731,Interventions for Children of Parents With Cancer From the Time of Cancer Diagnosis Through Bereavement: Two Systematic Reviews.,2025 Mar,Malinowski PK; Pozo-Kaderman C; Muriel AC; Hanania J; Pirl WF; Dorste A; Rotman C; Jankauskaite G; Joyce EK; Morris SE,,
40082514,Adropin ameliorates reproductive dysfunctions in letrozole-induced PCOS mouse.,2025 Mar 13,Maurya S; Tripathi S; Arora T; Singh A,,
40082480,Impact of distal or pylorus preserving gastrectomy on postoperative quality of life in T1 stage middle third gastric cancer patients.,2025 Mar 13,Chen H; Jing S; Li Z; Cao L; Guan W; Chen X; Wang M,,
40082418,"PD-1 antibody camrelizumab plus apatinib and SOX as first-line treatment in patients with AFP-producing gastric or gastro-esophageal junction adenocarcinoma (CAP 06): a multi-center, single-arm, phase 2 trial.",2025 Mar 14,Wang Y; Lu J; Chong X; Wang C; Chen X; Peng Z; Gu Y; Wang Y; Wang X; Li J; Gong J; Qi C; Yuan J; Lu Z; Lu M; Zhou J; Cao Y; Chen Y; Zhang C; Hou Z; Kou H; Shen L; Zhang X,,
40082225,Clinicopathological Features and HOX Transcript Antisense RNA In Situ Hybridization Detection of Myxopapillary Ependymoma.,2025 Feb,Yu-Han Z; Zheng W; Jun-Liang LU; Da-Chun Z; Zhen H,,
40082207,Erratum to: Advantages of contrast-enhanced ultrasound in the localization and diagnostics of sentinel lymph nodes in breast cancer.,2025 Mar 13,Yang Q; Fu Y; Wang J; Yang H; Zhang X,,
40081905,Clinical presentation and prognosis of acute symptomatic pulmonary embolism in patients with concomitant upper-extremity versus lower-extremity deep vein thrombosis.,2025 Mar 13,Dubois-Silva Á; Bikdeli B; Jiménez D; Barbagelata-López C; Fernández-Capitán C; Skride A; Pham KQ; Porras JA; Pacheco-Gómez N; Monreal M,,
40081868,Physical activity and supportive care intervention preferences: a cross-sectional study of barriers in advanced cancer.,2025 Mar 13,Agnew M; Cadmus-Bertram L; Schmidt CW; Kwekkeboom K; Trentham-Dietz A; Gangnon R; Warren Andersen S,,
40081624,Family-Integrated Advance Care Planning for Cancer Patients: A Mixed-Methods Feasibility Study.,2025 Mar 11,Kishino M; Koffman J; Hamano J; Higashibata T; Kizawa Y; Ellis-Smith C,,
40081536,Understanding Mortality Patterns in Elderly Cancer Patients with Atrial Fibrillation: A Comprehensive Data Analysis.,2025 Mar 11,Naveed MA; Neppala S; Tabassum S; Ali A; Chigurupati HD; Rehan MO; Iqbal R; Azeem B; Naveed H; Ahmed M; Rana J; Munir B,,
40081387,Bibliometrics of gastric cancer prediction models.,2025 Feb,Gao F; Wang X; Fu X; Sun J,,
40081120,CDK4/6 Inhibition With Abemaciclib in Patients With Previously Treated Advanced Renal Cell Carcinoma.,2025 Feb 18,McGregor BA; Xie W; Berg SA; Xu W; Viswanathan SR; McDermott D; Signoretti S; Kaelin WG Jr; Choueiri TK,,
40080802,Pre-expanded perforator flaps for neo-esophageal reconstruction: A salvage procedure for the treatment of bipolar upper-GI tract exclusion.,2025 Mar 7,Bertheuil N; Bergeat D; Meunier B; Thoma M; Berkane Y; Lengelé B,,
40080747,Epidemiology and Survival of Marginal Zone Lymphoma in Colombian Patients: An Observational Retrospective Study.,2025 Mar,Combariza-Vallejo JF; Orduz-Rodriguez R; Gomez-Lopera N; Colmenares-Mejia CC; Benavides-Rojas MS; Calderon-Ortega YM; Godoy-Corredor M; Isaza-Ruget MA,,
40080642,RGMb drives macrophage infiltration to aggravate kidney disease.,2025 Mar 18,Kong Y; Yue M; Xu C; Zhang J; Hong H; Lu J; Wang Y; Zhang X; Chen Q; Yang C; Liu HF; Qin J; Zhou J; Lee NY; Lin B; Tian X; Freeman GJ; Xia Y,,
40080369,The Effectiveness of Superparamagnetic Iron Oxide Nanoparticles in Reducing Unnecessary Sentinel Lymph Node Biopsies.,2025 Mar 13,Kim E; Dossett LA; Hughes TM; Jeruss JS; Sabel MS; Pilewskie ML,,
40080285,Recent Advances in Smart Linkage Strategies for Developing Drug Conjugates for Targeted Delivery.,2025 Mar 13,Zhang J; Yang Z; Liu Y; Liu Y; Qu J; Pan X,,
40080212,An exploration of nursing and Allied Health Professional (AHP)-led post-treatment surveillance and survivorship care for people with head and neck cancer-a scoping review.,2025 Mar 13,Rothrie S; Brady G; Howell P; Roe J,,
40080137,Evaluation of surrogate endpoints in phase III randomized control trials of advanced hepatocellular carcinoma treated with immune checkpoint inhibitors.,2025 Mar 13,Jiang K; Liu M; Zhao X; Wang S; Ling Y; Qiao L; Tu J; Peng Z,,
40080018,"Area Socioeconomic Status, Vaccination Access, and Female Human Papillomavirus Vaccination.",2025 Mar 3,Oka E; Okada M; Ikuno Y; Amano K; Shioya S; Kawabata M; Sakurai R; Konishi M; Nakaya T; Katanoda K; Ueda Y; Ito Y,,
40080017,Health Care Contact Days for Older Adults Enrolled in Cancer Clinical Trials.,2025 Mar 3,Gupta A; Till C; Vaidya R; Hershman DL; Unger JM,,
40080000,Persistent Prostate-Specific Antigen Following Radical Prostatectomy for Prostate Cancer and Mortality Risk.,2025 Mar 13,Tilki D; Chen MH; Wu J; Huland H; Graefen M; Trock BJ; Han M; D'Amico AV,,
40079983,High Sugar-Sweetened Beverage Intake and Oral Cavity Cancer in Smoking and Nonsmoking Women.,2025 Mar 13,Gomez-Castillo L; Cushing-Haugen KL; Useche M; Norouzi A; Rizvi Z; Ferrandino R; Futran N; Marchiano E; Rodriguez T; Harris HR; Barber B,,
40079977,Retractions in Otolaryngology Publications.,2025 Mar 13,Edalati S; Chung T; Govindaraj M; Kraft D; Lerner DK; Del Signore A; Iloreta AM,,
40079965,Genetic and Demographic Determinants of Fuchs Endothelial Corneal Dystrophy Risk and Severity.,2025 Mar 13,Liu S; Sadan AN; Bhattacharyya N; Zarouchlioti C; Szabo A; Abreu Costa M; Hafford-Tear NJ; Kladny AS; Dudakova L; Ciosi M; Moghul I; Wilkins MR; Allan B; Skalicka P; Hardcastle AJ; Pontikos N; Bunce C; Monckton DG; Muthusamy K; Liskova P; Tuft SJ; Davidson AE,,
40079946,Pretreatment Liquid Biopsy and Clinicopathologic Features in HPV-Associated Oropharyngeal Squamous Cell Carcinoma.,2025 Mar 13,Cooke PV; Chennareddy S; Kraft DO; Kappauf C; Lam AS; Chen S; Sindhu KK; Berger MH; Ferrandino RM; Kulkarni R; Tang M; Ghesani N; Misiukiewicz K; Bakst RL; Posner MR; Genden EM; Chai RL; Roof SA,,
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial.,2025 Mar 13,Haddad R; Fayette J; Teixeira M; Prabhash K; Mesia R; Kawecki A; Dechaphunkul A; Dinis J; Guo Y; Masuda M; Hsieh CY; Ghi MG; Vaz de Melo Sette C; Harrington K; Tahara M; Saba NF; Lau A; Jiang T; Yan Y; Ballinger M; Kaul M; Matheny C; Cuchelkar V; Wong DJ,,
40079928,Pulsed TM-YAG laser (Thulio®): a new weapon in endourologists' hand in the conservative management of imperative cases of Upper Tract Urothelial Carcinoma (UTUC).,2025 May-Jun,Scalia R; Gisone S; Escobar R; Proietti S; Gaboardi F; Giusti G,,
40079897,Evaluation of concordance between the Bethesda System for Reporting Thyroid Cytopathology 2023 (TBSRTC) and ACR-TIRADS at a tertiary care center in Gujarat.,2025 Mar 13,Biswas S; Shah I; Goswami H; Chaudhuri A,,
40079767,Systemic Targeted Therapies in Patients with Relapsed/Refractory Advanced Stage Cutaneous T-cell Lymphoma: A Real-world Single-centre Case Series.,2025 Mar 13,Hedebo S; Pedersen MB; Lindahl LM; Drjlevic-Nielsen A; Johansen C; D'Amore F; Iversen L; Bech R,,
40079734,EBV enhances immunotherapy sensitivity in intrahepatic cholangiocarcinoma through cGAS-STING pathway activation.,2025 Apr 1,Huang L; Zhong Q; Huang S; Yang K; Cai Y; Guo G,,
40079672,Prehabilitation Interventions in Patients Undergoing Colorectal Cancer Surgery: A Systematic Review and Meta-Analysis.,2025 Mar 13,Liao YS; Chiu HY; Huang FH; Chang YH; Huang YM; Wei PL; Wang W; Hung CS; Tung HH,,
40079619,Early Detection and Management of Cognitive Impairment in Parkinson's Disease: A Predictive Model Approach.,2025 Mar,Li L; Tang S; Hao B; Gao X; Liu H; Wang B; Qi H,,
40079567,A novel robotic technique for creating the retrosternal route in gastric conduit reconstruction.,2025 Mar 13,Tsuji T; Inaki N; Doden K; Hayashi S; Saito H; Yamaguchi T; Yamamoto D; Okamoto K; Moriyama H; Kinoshita J,,
40079203,Controversy and multiple roles of the solitary nucleus receptor Nur77 in disease and physiology.,2025 Mar 31,Wang Y; Li N; Guan W; Wang D,,
40079193,Perioperative Trends in Distress Among Cancer Patients: A Systematic Review and Meta-Analysis.,2025 Mar,Rowe DG; O'Callaghan E; Yoo S; Dalton JC; Woo J; Owolo E; Dalton T; Johnson MO; Goodwin AN; Crowell KA; Kaplan S; Erickson MM; Goodwin CR,,
40078466,"Sociodemographic Factors and Depression in Patients With Breast Cancer: A Multicenter, Cross-sectional Study in Georgia.",2025,Kakhniashvili T; Okribelashvili N; Kiladze I,,
40078452,Environmental impact of colorectal cancer screening with colonoscopy and multi-target stool DNA (mt-sDNA) testing.,2025 Mar,Alcock R; Shaukat A; Kisiel JB; Hernandez LV; Delarmente BA; Estes C; Bartels J; Lester J; Vahdat V; Limburg PJ; Fendrick AM,,
40078245,"Triple-Negative, HER2/Neu, and Ki67 Markers in Breast Cancer Patients Undergoing Standard of Care Treatment in India: Real-World Evidence on Tumor Aggressiveness and Survival Outcomes.",2025 Feb,Dhiman P; Patil CN; Konimeni S; Meenu M,,
40078193,Which specific modes of exercise training are most effective for breast related cancer fatigue? Network meta-analysis.,2025,Li Y; Zhang J; Hu D; Gao L; Huang T,,
40077902,Electronic Health Record Clinical Decision Support to Close the Human Papillomavirus Vaccination Gender Disparity in Children Aged 9 and 10 Years.,2025 Mar 12,Stipelman CH; Ulibarri E; Wilson N; Olivas A; Sanders A; Trepman E; Kawamoto K,,
40077727,"Association Between Aflatoxin Exposure and Haemoglobin, Zinc, and Vitamin A, C, and E Levels/Status: A Systematic Review.",2025 Feb 28,Mshanga N; Moore S; Kassim N; Martin HD; Auma CI; Gong YY,,
40077616,Percutaneous Endoscopic Gastrostomy in the 21st Century-An Overview of 1415 Consecutive Dysphagic Adult Patients.,2025 Feb 20,Mendes I; Vara-Luiz F; Palma C; Nunes G; Lima MJ; Oliveira C; Brito M; Santos AP; Santos CA; Meira T; Mascarenhas P; Fonseca J,,
40077126,Navigating Equitable Access to Cancer and Mental Health Services During Pandemics: Stakeholder Perspectives on COVID-19 Challenges and Community-Based Solutions for Immigrants and Refugees-Proceedings from Think Tank Sessions.,2025 Mar 5,Vahabi M; Devotta K; Ledwos C; Wong JP; Narushima M; Rayner J; Hawa R; Fung K; Datta GD; Janczur A; Damba C; Lofters A,,
40077076,Development of a Health Research Portfolio Based on Priority Topics for Peruvian Social Health Insurance (ESSALUD) in 2023-2025: A Collaborative Approach to Addressing Institutional and Public Health Challenges.,2025 Feb 27,Diaz-Obregón DZ; Coila-Paricahua E; Soto-Becerra P; Rojas CAO; Murillo Carrasco AG,,
40077047,Pelvic Actinomycosis and Diagnostic Complexity: Case Report with Literature Review.,2025 Feb 24,Restaino S; Gomba B; Zero C; Stabile G; Ronsini C; Della Corte L; Cianci S; Perelli F; Piacenti I; Driul L; Terrosu G; Bordin F; Taliento C; Ripepi C; Greco P; Arcieri M; Vizzielli G,,
40077018,Analysis of the European Union's National Cancer Control Programs: Meeting the Needs of People with Intellectual Disabilities.,2025 Feb 20,Kowalczyk O; Ambrocio RPPM; Vuković V; Denieffe S; Denny M,,
40076997,"Correction: Chua et al. Intraperitoneally Delivered Umbilical Cord Lining Mesenchymal Stromal Cells Improve Survival and Kidney Function in Murine Lupus via Myeloid Pathway Targeting. Int. J. Mol. Sci. 2023, 24, 365.",2025 Feb 25,Chua AWC; Guo D; Tan JC; Lim FTW; Ong CT; Masilamani J; Lim TKH; Hwang WYK; Lim IJ; Chen J; Phan TT; Fan X,,
40076649,Molecular Docking of Lactoferrin with Apoptosis-Related Proteins Insights into Its Anticancer Mechanism.,2025 Feb 26,Angel-Lerma LE; Carrillo-Campos J; Siañez-Estrada LI; Siqueiros-Cendón TS; León-Flores DB; Espinoza-Sánchez EA; Arévalo-Gallegos S; Iglesias-Figueroa BF; Rascón-Cruz Q,,
40076620,"Targeting NEK Kinases in Gastrointestinal Cancers: Insights into Gene Expression, Function, and Inhibitors.",2025 Feb 25,Chen L; Lu H; Ballout F; El-Rifai W; Chen Z; Gokulan RC; McDonald OG; Peng D,,
